"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"1965",4031,0.000000000669798772002,0.00000000323285141284512,0.282,19.5499012987875,"TMC8","old"
"1966",4033,1,1,-0.001,0,"NDUFV1","Not significant"
"1967",4034,0.283798150257,0.491977048163143,0.078,0.709323213652889,"NDUFV1","Not significant"
"1968",4035,1,1,-0.001,0,"NDUFV1","Not significant"
"1969",4036,0.000000352919669044,0.00000134027399895082,0.134,13.522636488075,"NDUFV1","old"
"1970",4037,1,1,0.001,0,"EML3","Not significant"
"1971",4038,0.00000000491313190132,0.0000000218217889252644,0.308,17.6403568743263,"EML3","old"
"1972",4039,0.373011717562,0.629047987723318,0.135,0.463547733103844,"EML3","Not significant"
"1973",4040,1,1,0.003,0,"STAG3L5P-PVRIG2P-PILRB","Not significant"
"1974",4041,1,1,0,0,"STAG3L5P-PVRIG2P-PILRB","Not significant"
"1975",4042,1,1,0.003,0,"CNNM3","Not significant"
"1976",4045,0,0,0.433,Inf,"ZYX","old"
"1977",4046,0.196168978353,0.35397120624359,0.023,1.03853970745144,"CDC42SE1","Not significant"
"1978",4049,0.000000995636654455,0.00000361305479272226,0.04,12.5309569404772,"RHOC","Not significant"
"1979",4053,0.0000635330410808,0.000190482477512141,0.122,8.56595034919164,"TBC1D20","old"
"1980",4054,1.11022302463e-15,7.882583474873e-15,0.235,32.4741206926314,"MARCH6","old"
"1981",4055,0.00000000581068770877,0.0000000255994236378275,0.227,17.4806959998617,"TMEM120A","old"
"1982",4057,1,1,0.073,0,"ABCA7","Not significant"
"1983",4058,0,0,-0.075,Inf,"NKTR","Not significant"
"1984",4060,0.0199177458683,0.0433663711175546,0.079,3.13807099727673,"NKTR","Not significant"
"1985",4061,7.77156117238e-16,5.59073101079143e-15,-0.159,32.8176663451322,"NKTR","young"
"1986",4062,1,1,0.017,0,"NKTR","Not significant"
"1987",4065,1.11022302463e-16,8.36766553486518e-16,0.288,34.7169865509238,"GNL3","old"
"1988",4066,1,1,0.01,0,"MANSC1","Not significant"
"1989",4068,0.00387017634354,0.00932153092772982,0.097,4.67542840114231,"NXF1","Not significant"
"1990",4078,0.155870654449,0.28837248343869,0.025,1.24350228922351,"H2AFZ","Not significant"
"1991",4080,0.169145860289,0.309706408860743,0.075,1.17213049844653,"WASH2P","Not significant"
"1992",4081,0,0,0.065,Inf,"ACTR3","Not significant"
"1993",4085,0.661756537451,1,-0.038,0,"AIF1","Not significant"
"1994",4086,0.00000053914021636,0.00000201468186113474,0.117,13.1150492603238,"RPS27A","old"
"1995",4089,0.0262015067435,0.0559795820045384,0.036,2.88276826179412,"CRIP1","Not significant"
"1996",4095,0.000000000000218713935851,0.00000000000130827786536514,0.133,27.3623094501603,"LIMS2","old"
"1997",4103,0.784924868303,1,0.117,0,"SMPD4","Not significant"
"1998",4104,0.149215794001,0.277212049605953,0.201,1.28297254361419,"SMPD4","Not significant"
"1999",4105,0.0000894157547781,0.000261209172723859,0.232,8.25018904355281,"DVL3","old"
"2000",4107,0.00340535822288,0.00828755585389425,0.106,4.79300018395812,"IMP4","old"
"2001",4108,0.00000212476104999,0.00000748325261243782,0.187,11.8028430192589,"IMP4","old"
"2002",4110,0.000481651354647,0.00129862960176976,0.165,6.64644572300896,"IMP4","old"
"2003",4112,0.244326165989,0.431645830212806,0.112,0.840149864458915,"PNKP","Not significant"
"2004",4113,0.145972723597,0.272115819216782,-0.022,1.30152749737171,"PNKP","Not significant"
"2005",4114,0.275607677904,0.480185933668037,0.227,0.733581888277007,"PNKP","Not significant"
"2006",4115,0.000000205146691967,0.000000801446287038543,0.175,14.0368478826901,"PNKP","old"
"2007",4122,0.59409269759,0.940071099965572,0.077,0.06179976831727,"AAMP","Not significant"
"2008",4123,1,1,0,0,"AAMP","Not significant"
"2009",4124,1,1,0.003,0,"AAMP","Not significant"
"2010",4125,0.00000000018691637127,0.000000000936301945656166,0.331,20.7890830999594,"ACAD9","old"
"2011",4129,0.00000000000140309985852,0.00000000000807730459093946,0.083,25.5419628892794,"ALKBH2","Not significant"
